"Marca temporal","Semestre","A qué ingeniería perteneces","Las siguientes preguntas son con única opción de respuesta:
1. Edad","2. Género","3. Utiliza los laboratorios de la Universidad","4.  ¿Con qué frecuencia utiliza los laboratorios de la universidad por semestre?","5. ¿Cuáles son las actividades que se realizan con mayor frecuencia en los laboratorios? (Selecciona dos o más):","6. ¿Ha presentado dificultades para acceder a una sala de laboratorio debido a la capacidad máxima? ","7. ¿Ha presentado dificultades para acceder a una sala de laboratorio debido a la falta de disponibilidad?","8. ¿Cuándo realiza prácticas de laboratorio, tiene acceso a una visualización gráfica que le muestra la disponibilidad de las salas de laboratorio para agendarlas?","9. ¿Considera que sería beneficioso contar con un sistema web que permita reservar salas de laboratorio en tiempo real para mejorar la experiencia como estudiante?"
"2024/05/21 8:28:43 p. m. GMT-5","8","ingeniería de sistemas","25","Maculino","No","1 - 2 veces","Trabajo en proyectos grupales","Si","No","No","Muy de acuerdo"
"2024/05/21 9:43:32 p. m. GMT-5","4","ingeniería industrial","20 ","Femenino","Si","3 - 5 veces","Experimentos prácticos;Trabajo en proyectos grupales","Si","Si","No","Muy de acuerdo"
"2024/05/21 9:44:18 p. m. GMT-5","4","ingeniería industrial","27","Femenino","Si","1 - 2 veces","Experimentos prácticos","No","No","No","Muy de acuerdo"
"2024/05/22 7:18:06 p. m. GMT-5","4","ingeniería de sistemas","20","Femenino","No","1 - 2 veces","Experimentos prácticos","Si","Si","No","Neutral"
"2024/05/22 7:41:33 p. m. GMT-5","3","ingeniería de sistemas","20","Maculino","Si","3 - 5 veces","Experimentos prácticos;Pruebas de software/simulaciones;Trabajo en proyectos grupales","No","No","Si","Muy de acuerdo"
"2024/05/22 7:45:36 p. m. GMT-5","4","ingeniería de sistemas","23","Maculino","No","1 - 2 veces","Experimentos prácticos","Si","Si","Si","Muy de acuerdo"
"2024/05/22 8:33:29 p. m. GMT-5","5","ingeniería de sistemas","26","Maculino","Si","1 - 2 veces","Experimentos prácticos","No","No","Si","Muy de acuerdo"
"2024/05/22 8:42:56 p. m. GMT-5","5","ingeniería mecatronica","19","Femenino","Si","1 - 2 veces","Experimentos prácticos","No","Si","Si","Neutral"
"2024/05/22 8:43:42 p. m. GMT-5","4","ingeniería de sistemas","26","Maculino","Si","1 - 2 veces","Pruebas de software/simulaciones","No","No","Si","Muy de acuerdo"
"2024/05/22 8:44:47 p. m. GMT-5","4","ingeniería de sistemas","20","Maculino","Si","3 - 5 veces","Experimentos prácticos;Trabajo en proyectos grupales","No","Si","No","Muy de acuerdo"
"2024/05/22 8:47:02 p. m. GMT-5","3","ingeniería industrial","20","Femenino","Si","1 - 2 veces","Experimentos prácticos;Trabajo en proyectos grupales","No","No","Si","Muy en desacuerdo"
"2024/05/22 8:47:53 p. m. GMT-5","3","ingeniería industrial","20","Femenino","Si","1 - 2 veces","Experimentos prácticos","No","Si","No","Neutral"
"2024/05/22 8:52:38 p. m. GMT-5","5","ingeniería de sistemas","21","Maculino","Si","1 - 2 veces","Experimentos prácticos","Si","Si","Si","En desacuerdo"
"2024/05/22 8:54:18 p. m. GMT-5","9","ingeniería mecatronica","21","Maculino","Si","3 - 5 veces","Pruebas de software/simulaciones;Trabajo en proyectos grupales","No","No","Si","Muy de acuerdo"
"2024/05/22 9:04:03 p. m. GMT-5","8","ingeniería de sistemas","19","Maculino","Si","1 - 2 veces","Experimentos prácticos","No","No","No","Muy de acuerdo"
"2024/05/22 9:04:29 p. m. GMT-5","7","ingeniería de sistemas","21","Maculino","No","Nunca","Recibir clases","No","No","No","Neutral"
"2024/05/22 9:04:56 p. m. GMT-5","7","ingeniería de sistemas","20","Maculino","Si","1 - 2 veces","","No","No","No","Muy de acuerdo"
"2024/05/22 9:08:36 p. m. GMT-5","3","ingeniería ambiental","19","Femenino","Si","3 - 5 veces","Experimentos prácticos;Trabajo en proyectos grupales","Si","Si","No","Muy de acuerdo"
"2024/05/22 9:21:00 p. m. GMT-5","2","ingeniería ambiental","21","Maculino","Si","3 - 5 veces","Experimentos prácticos;Pruebas de software/simulaciones;Trabajo en proyectos grupales;Investigación académica","Si","Si","No","Muy de acuerdo"
